user,purpose,destination
1155,Sightseeing/ Attractions,Heartland Mall
1156,General business purpose,NEX
1157,Holiday/ Rest & Relax,Buangkok Square
1158,Sightseeing/ Attractions,Greenwich V
1159,Holiday/ Rest & Relax,Hougang 1
1160,Sightseeing/ Attractions,Hougang Green Shopping Mall
1161,Holiday/ Rest & Relax,Hougang Rivercourt
1162,Holiday/ Rest & Relax,Marina Bay
1163,Holiday/ Rest & Relax,Marina Bay
1164,Holiday/ Rest & Relax,Marina Bay
1165,Holiday/ Rest & Relax,Marina Bay
1166,Holiday/ Rest & Relax,Marina Bay
1167,Holiday/ Rest & Relax,Marina Bay
1168,Holiday/ Rest & Relax,Marina Bay
1169,Holiday/ Rest & Relax,Marina Bay
1170,Holiday/ Rest & Relax,Marina Bay
1171,Holiday/ Rest & Relax,Marina Bay
1172,Holiday/ Rest & Relax,Marina Bay
1173,Exhibition/Trade show,Marina Barrage
1174,Holiday/ Rest & Relax,Marina Bay
1175,Holiday/ Rest & Relax,Marina Bay
1176,Holiday/ Rest & Relax,Marina Bay
1177,Holiday/ Rest & Relax,Marina Bay
1178,Holiday/ Rest & Relax,Marina Bay
1179,General business purpose,URA City Gallery
1180,Holiday/ Rest & Relax,Marina Bay
1181,Holiday/ Rest & Relax,Marina Bay
1182,Holiday/ Rest & Relax,Marina Bay
1183,Holiday/ Rest & Relax,Marina Bay
1184,General business purpose,URA City Gallery
1185,Holiday/ Rest & Relax,Marina Bay
1186,Holiday/ Rest & Relax,Marina Bay
1187,Holiday/ Rest & Relax,Marina Bay
1188,Holiday/ Rest & Relax,Marina Bay
1189,Sightseeing/ Attractions,Bugis Street
1190,Holiday/ Rest & Relax,Marina Bay
1191,General business purpose,URA City Gallery
1192,Holiday/ Rest & Relax,Marina Bay
1193,To shop/attend shopping events in Singapore,Oasis Terraces
1194,General business purpose,Punggol Plaza
1195,Sightseeing/ Attractions,Rivervale Mall
1196,Holiday/ Rest & Relax,Marina Bay
1197,General business purpose,The Seletar Mall
1198,Holiday/ Rest & Relax,Marina Bay
1199,Holiday/ Rest & Relax,Marina Bay
1200,Holiday/ Rest & Relax,Marina Bay
1201,Holiday/ Rest & Relax,Marina Bay
1202,Holiday/ Rest & Relax,Marina Bay
1203,Holiday/ Rest & Relax,Marina Bay
1204,Holiday/ Rest & Relax,Marina Bay
1205,Holiday/ Rest & Relax,Marina Bay
1206,Holiday/ Rest & Relax,Marina Bay
1207,Holiday/ Rest & Relax,Marina Bay
1208,Holiday/ Rest & Relax,Marina Bay
1209,Holiday/ Rest & Relax,Marina Bay
1210,Holiday/ Rest & Relax,Marina Bay
1211,Holiday/ Rest & Relax,Marina Bay
1212,Holiday/ Rest & Relax,Marina Bay
1213,Holiday/ Rest & Relax,Marina Bay
1214,Holiday/ Rest & Relax,Marina Bay
1215,Holiday/ Rest & Relax,Marina Bay
1216,Holiday/ Rest & Relax,Marina Bay
1217,Holiday/ Rest & Relax,Marina Bay
1218,Holiday/ Rest & Relax,Marina Bay
1219,Holiday/ Rest & Relax,Marina Bay
1220,Holiday/ Rest & Relax,Marina Bay
1221,Holiday/ Rest & Relax,Marina Bay
1222,Holiday/ Rest & Relax,Marina Bay
1223,Holiday/ Rest & Relax,Marina Bay
1224,Holiday/ Rest & Relax,Marina Bay
1225,Holiday/ Rest & Relax,Marina Bay
1226,Holiday/ Rest & Relax,Marina Bay
1227,Holiday/ Rest & Relax,Marina Bay
1228,Holiday/ Rest & Relax,Marina Bay
1229,Holiday/ Rest & Relax,Marina Bay
1230,Holiday/ Rest & Relax,Marina Bay
1231,Holiday/ Rest & Relax,Marina Bay
1232,Holiday/ Rest & Relax,Marina Bay
1233,Holiday/ Rest & Relax,Marina Bay
1234,Holiday/ Rest & Relax,Marina Bay
1235,Holiday/ Rest & Relax,Marina Bay
1236,Holiday/ Rest & Relax,Marina Bay
1237,Holiday/ Rest & Relax,Marina Bay
1238,Holiday/ Rest & Relax,Marina Bay
1239,Holiday/ Rest & Relax,Marina Bay
1240,Holiday/ Rest & Relax,Marina Bay
1241,Holiday/ Rest & Relax,Marina Bay
1242,Holiday/ Rest & Relax,Marina Bay
1243,Holiday/ Rest & Relax,Marina Bay
1244,Holiday/ Rest & Relax,Marina Bay
1245,Holiday/ Rest & Relax,Marina Bay
1246,Holiday/ Rest & Relax,Marina Bay
1247,Holiday/ Rest & Relax,Marina Bay
1248,Holiday/ Rest & Relax,Marina Bay
1249,Holiday/ Rest & Relax,Marina Bay
1250,Holiday/ Rest & Relax,Marina Bay
1251,Holiday/ Rest & Relax,Marina Bay
1252,To shop/attend shopping events in Singapore,Oasis Terraces
1253,Holiday/ Rest & Relax,Marina Bay
1254,Holiday/ Rest & Relax,Marina Bay
1255,Holiday/ Rest & Relax,Marina Bay
1256,Holiday/ Rest & Relax,Marina Bay
1257,Holiday/ Rest & Relax,Marina Bay
1258,Holiday/ Rest & Relax,Marina Bay
1259,General business purpose,Beauty World Plaza
1260,Holiday/ Rest & Relax,Marina Bay
1261,Holiday/ Rest & Relax,Marina Bay
1262,Sightseeing/ Attractions,Fajar Shopping Centre
1263,Holiday/ Rest & Relax,Marina Bay
1264,Holiday/ Rest & Relax,Marina Bay
1265,General business purpose,HillV2
1266,Holiday/ Rest & Relax,Marina Bay
1267,Holiday/ Rest & Relax,Marina Bay
1268,Holiday/ Rest & Relax,Marina Bay
1269,Holiday/ Rest & Relax,Marina Bay
1270,Holiday/ Rest & Relax,Marina Bay
1271,Holiday/ Rest & Relax,Marina Bay
1272,Holiday/ Rest & Relax,Marina Bay
1273,Holiday/ Rest & Relax,Marina Bay
1274,Holiday/ Rest & Relax,Marina Bay
1275,Holiday/ Rest & Relax,Marina Bay
1276,Holiday/ Rest & Relax,Marina Bay
1277,Holiday/ Rest & Relax,Marina Bay
1278,Holiday/ Rest & Relax,Marina Bay
1279,Holiday/ Rest & Relax,Marina Bay
1280,Holiday/ Rest & Relax,Marina Bay
1281,Holiday/ Rest & Relax,Marina Bay
1282,Holiday/ Rest & Relax,Marina Bay
1283,To shop/attend shopping events in Singapore,Oasis Terraces
1284,Holiday/ Rest & Relax,Punggol Plaza
1285,Holiday/ Rest & Relax,Rivervale Mall
1286,Holiday/ Rest & Relax,Rivervale Plaza
1287,Holiday/ Rest & Relax,The Seletar Mall
1288,Holiday/ Rest & Relax,Upper Serangoon Shopping Centre
1289,Holiday/ Rest & Relax,Beauty World Centre
1290,Holiday/ Rest & Relax,Beauty World Plaza
1291,Holiday/ Rest & Relax,Bukit Panjang Plaza
1292,General business purpose,Bukit Timah Plaza
1293,Holiday/ Rest & Relax,Fajar Shopping Centre
1294,Holiday/ Rest & Relax,Greenridge Shopping Centre
1295,General business purpose,Hillion Mall
1296,Holiday/ Rest & Relax,HillV2
1297,Holiday/ Rest & Relax,Junction 10
1298,Holiday/ Rest & Relax,Keat Hong Shopping Centre
1299,Holiday/ Rest & Relax,Marina Bay
1300,Holiday/ Rest & Relax,Marina Bay
1301,Holiday/ Rest & Relax,Marina Bay
1302,Holiday/ Rest & Relax,Marina Bay
1303,Holiday/ Rest & Relax,Marina Bay
1304,Holiday/ Rest & Relax,Marina Bay
1305,Holiday/ Rest & Relax,Marina Bay
1306,Sightseeing/ Attractions,Bugis Street
1307,Holiday/ Rest & Relax,Marina Bay
1308,Holiday/ Rest & Relax,Marina Bay
1309,Holiday/ Rest & Relax,Marina Bay
1310,Holiday/ Rest & Relax,Marina Bay
1311,Holiday/ Rest & Relax,Marina Bay
1312,Holiday/ Rest & Relax,Marina Bay
1313,Holiday/ Rest & Relax,Marina Bay
1314,Exhibition/Trade show,Marina Barrage
1315,Holiday/ Rest & Relax,Marina Bay
1316,Holiday/ Rest & Relax,Marina Bay
1317,Holiday/ Rest & Relax,Marina Bay
1318,Holiday/ Rest & Relax,Marina Bay
1319,Holiday/ Rest & Relax,Marina Bay
1320,Holiday/ Rest & Relax,Marina Bay
1321,Holiday/ Rest & Relax,Marina Bay
1322,Holiday/ Rest & Relax,Marina Bay
1323,Holiday/ Rest & Relax,Marina Bay
1324,Holiday/ Rest & Relax,Marina Bay
1325,General business purpose,City Hall
1326,Holiday/ Rest & Relax,Marina Bay
1327,Holiday/ Rest & Relax,Marina Bay
1328,Holiday/ Rest & Relax,Marina Bay
1329,Holiday/ Rest & Relax,Marina Bay
1330,Holiday/ Rest & Relax,Marina Bay
1331,Holiday/ Rest & Relax,Marina Bay
1332,Holiday/ Rest & Relax,Marina Bay
1333,Holiday/ Rest & Relax,Marina Bay
1334,Holiday/ Rest & Relax,Marina Bay
1335,Holiday/ Rest & Relax,Marina Bay
1336,Holiday/ Rest & Relax,Marina Bay
1337,Holiday/ Rest & Relax,Marina Bay
1338,Holiday/ Rest & Relax,Marina Bay
1339,Holiday/ Rest & Relax,Marina Bay
1340,Holiday/ Rest & Relax,Marina Bay
1341,To shop/attend shopping events in Singapore,Waterway Point
1342,Holiday/ Rest & Relax,Marina Bay
1343,Holiday/ Rest & Relax,Marina Bay
1344,Holiday/ Rest & Relax,Marina Bay
1345,General business purpose,NEX
1346,Holiday/ Rest & Relax,Marina Bay
1347,Holiday/ Rest & Relax,Marina Bay
1348,Holiday/ Rest & Relax,Marina Bay
1349,General business purpose,Hougang Green Shopping Mall
1350,Holiday/ Rest & Relax,Marina Bay
1351,General business purpose,City Hall
1352,Holiday/ Rest & Relax,Marina Bay
1353,Holiday/ Rest & Relax,Marina Bay
1354,Holiday/ Rest & Relax,Marina Bay
1355,Holiday/ Rest & Relax,Marina Bay
1356,Holiday/ Rest & Relax,Marina Bay
1357,Holiday/ Rest & Relax,Marina Bay
1358,Holiday/ Rest & Relax,Marina Bay
1359,Holiday/ Rest & Relax,Marina Bay
1360,Holiday/ Rest & Relax,Marina Bay
1361,General business purpose,City Hall
1362,Holiday/ Rest & Relax,Marina Bay
1363,Holiday/ Rest & Relax,Marina Bay
1364,Holiday/ Rest & Relax,Marina Bay
1365,To shop/attend shopping events in Singapore,Oasis Terraces
1366,Holiday/ Rest & Relax,Punggol Plaza
1367,To shop/attend shopping events in Singapore,Rivervale Mall
1368,Holiday/ Rest & Relax,Rivervale Plaza
1369,Holiday/ Rest & Relax,The Seletar Mall
1370,Holiday/ Rest & Relax,Upper Serangoon Shopping Centre
1371,Holiday/ Rest & Relax,Beauty World Centre
1372,Holiday/ Rest & Relax,Beauty World Plaza
1373,Holiday/ Rest & Relax,Bukit Panjang Plaza
1374,Holiday/ Rest & Relax,Bukit Timah Plaza
1375,Holiday/ Rest & Relax,Fajar Shopping Centre
1376,Holiday/ Rest & Relax,Greenridge Shopping Centre
1377,Holiday/ Rest & Relax,Hillion Mall
1378,Holiday/ Rest & Relax,HillV2
1379,Holiday/ Rest & Relax,Junction 10
1380,Holiday/ Rest & Relax,Keat Hong Shopping Centre
1381,To shop/attend shopping events in Singapore,Junction 10
1382,General business purpose,Keat Hong Shopping Centre
1383,Holiday/ Rest & Relax,Limbang Shopping Centre
1384,Holiday/ Rest & Relax,Lot One
1385,Holiday/ Rest & Relax,Rail Mall
1386,Holiday/ Rest & Relax,Sunshine Place
1387,General business purpose,Teck Whye Shopping Centre
1388,Holiday/ Rest & Relax,West Mall
1389,General business purpose,City Hall
1390,Holiday/ Rest & Relax,Marina Bay
1391,Holiday/ Rest & Relax,Marina Bay
1392,Holiday/ Rest & Relax,Marina Bay
1393,Holiday/ Rest & Relax,Marina Bay
1394,Holiday/ Rest & Relax,Marina Bay
1395,Holiday/ Rest & Relax,Marina Bay
1396,Holiday/ Rest & Relax,Marina Bay
1397,Holiday/ Rest & Relax,Marina Bay
1398,Holiday/ Rest & Relax,Marina Bay
1399,Holiday/ Rest & Relax,Marina Bay
1400,Holiday/ Rest & Relax,Marina Bay
1401,Holiday/ Rest & Relax,Marina Bay
1402,Holiday/ Rest & Relax,Marina Bay
1403,Holiday/ Rest & Relax,Marina Bay
1404,Holiday/ Rest & Relax,Marina Bay
1405,Holiday/ Rest & Relax,Marina Bay
1406,Holiday/ Rest & Relax,Marina Bay
1407,General business purpose,City Hall
1408,Holiday/ Rest & Relax,Marina Bay
1409,To shop/attend shopping events in Singapore,Downtown East
1410,Holiday/ Rest & Relax,Djitsun Mall Bedok
1411,Holiday/ Rest & Relax,Eastpoint Mall
1412,Holiday/ Rest & Relax,Jewel Changi Airport
1413,Holiday/ Rest & Relax,Katong Shopping Centre
1414,Holiday/ Rest & Relax,Katong Square
1415,Holiday/ Rest & Relax,Kallang Wave Mall
1416,Holiday/ Rest & Relax,Leisure Park Kallang
1417,Sightseeing/ Attractions,i12 Katong
1418,Holiday/ Rest & Relax,Parkway Parade
1419,Holiday/ Rest & Relax,Paya Lebar Square
1420,Holiday/ Rest & Relax,Roxy Square
1421,To shop/attend shopping events in Singapore,Singpost Centre
1422,Holiday/ Rest & Relax,Tampines 1
1423,Holiday/ Rest & Relax,Tampines Mall
1424,Holiday/ Rest & Relax,White Sands
1425,Holiday/ Rest & Relax,City Plaza
1426,Cultural Festivals,Elias Mall
1427,Cultural Festivals,Loyang Point
1428,Cultural Festivals,888 Plaza
1429,Holiday/ Rest & Relax,Admiralty Place
1430,To shop/attend shopping events in Singapore,AMK Hub
1431,General business purpose,Canberra Plaza
1432,Holiday/ Rest & Relax,Causeway Point
1433,Holiday/ Rest & Relax,Woodlands Civic Centre
1434,Holiday/ Rest & Relax,Broadway Plaza
1435,Holiday/ Rest & Relax,Djitsun Mall
1436,Holiday/ Rest & Relax,Jubilee Square
1437,Holiday/ Rest & Relax,Junction 8
1438,Holiday/ Rest & Relax,Junction Nine
1439,Holiday/ Rest & Relax,Marsiling Mall
1440,Holiday/ Rest & Relax,Northpoint City
1441,Holiday/ Rest & Relax,Sembawang Shopping Centre
1442,Holiday/ Rest & Relax,Sun Plaza
1443,Holiday/ Rest & Relax,Vista Point
1444,Holiday/ Rest & Relax,Wisteria Mall
1445,General business purpose,Woodlands Mart
1446,Holiday/ Rest & Relax,Marina Bay
1447,General business purpose,City Hall
1448,Holiday/ Rest & Relax,Marina Bay
1449,Holiday/ Rest & Relax,Marina Bay
1450,Holiday/ Rest & Relax,Marina Bay
1451,Sightseeing/ Attractions,Bugis Street
1452,Holiday/ Rest & Relax,Marina Bay
1453,Holiday/ Rest & Relax,Marina Bay
1454,Holiday/ Rest & Relax,Marina Bay
1455,Holiday/ Rest & Relax,Marina Bay
1456,Holiday/ Rest & Relax,Marina Bay
1457,To shop/attend shopping events in Singapore,Downtown East
1458,Holiday/ Rest & Relax,Djitsun Mall Bedok
1459,General business purpose,Eastpoint Mall
1460,Holiday/ Rest & Relax,Jewel Changi Airport
1461,Holiday/ Rest & Relax,Katong Shopping Centre
1462,Holiday/ Rest & Relax,Katong Square
1463,Holiday/ Rest & Relax,Kallang Wave Mall
1464,Holiday/ Rest & Relax,Leisure Park Kallang
1465,Holiday/ Rest & Relax,i12 Katong
1466,Holiday/ Rest & Relax,Parkway Parade
1467,Holiday/ Rest & Relax,Paya Lebar Square
1468,To shop/attend shopping events in Singapore,Roxy Square
1469,Holiday/ Rest & Relax,Singpost Centre
1470,Holiday/ Rest & Relax,Tampines 1
1471,Holiday/ Rest & Relax,Tampines Mall
1472,Holiday/ Rest & Relax,White Sands
1473,Holiday/ Rest & Relax,City Plaza
1474,Holiday/ Rest & Relax,Elias Mall
1475,General business purpose,Loyang Point
1476,Holiday/ Rest & Relax,888 Plaza
1477,Holiday/ Rest & Relax,Admiralty Place
1478,Holiday/ Rest & Relax,AMK Hub
1479,Holiday/ Rest & Relax,Canberra Plaza
1480,Holiday/ Rest & Relax,Causeway Point
1481,General business purpose,Woodlands Civic Centre
1482,Holiday/ Rest & Relax,Broadway Plaza
1483,To shop/attend shopping events in Singapore,Djitsun Mall
1484,Holiday/ Rest & Relax,Jubilee Square
1485,Sightseeing/ Attractions,Junction 8
1486,General business purpose,Junction Nine
1487,Sightseeing/ Attractions,Marsiling Mall
1488,Holiday/ Rest & Relax,Northpoint City
1489,Holiday/ Rest & Relax,Sembawang Shopping Centre
1490,Holiday/ Rest & Relax,Sun Plaza
1491,Holiday/ Rest & Relax,Vista Point
1492,Holiday/ Rest & Relax,Wisteria Mall
1493,Holiday/ Rest & Relax,Woodlands Mart
1494,To shop/attend shopping events in Singapore,Downtown East
1495,Holiday/ Rest & Relax,Djitsun Mall Bedok
1496,Holiday/ Rest & Relax,Eastpoint Mall
1497,Holiday/ Rest & Relax,Jewel Changi Airport
1498,Holiday/ Rest & Relax,Katong Shopping Centre
1499,Holiday/ Rest & Relax,Katong Square
1500,Holiday/ Rest & Relax,Kallang Wave Mall
1501,Holiday/ Rest & Relax,Leisure Park Kallang
1502,Holiday/ Rest & Relax,i12 Katong
1503,Holiday/ Rest & Relax,Parkway Parade
1504,Holiday/ Rest & Relax,Paya Lebar Square
1505,General business purpose,Roxy Square
1506,Holiday/ Rest & Relax,Singpost Centre
1507,Holiday/ Rest & Relax,Tampines 1
1508,Holiday/ Rest & Relax,Tampines Mall
1509,Holiday/ Rest & Relax,White Sands
1510,Holiday/ Rest & Relax,City Plaza
1511,Holiday/ Rest & Relax,Elias Mall
1512,Holiday/ Rest & Relax,Loyang Point
1513,Holiday/ Rest & Relax,888 Plaza
1514,Holiday/ Rest & Relax,Admiralty Place
1515,Holiday/ Rest & Relax,AMK Hub
1516,Holiday/ Rest & Relax,Canberra Plaza
1517,Holiday/ Rest & Relax,Causeway Point
1518,Holiday/ Rest & Relax,Woodlands Civic Centre
1519,General business purpose,Broadway Plaza
1520,General business purpose,Djitsun Mall
1521,Holiday/ Rest & Relax,Jubilee Square
1522,Holiday/ Rest & Relax,Junction 8
1523,Holiday/ Rest & Relax,Junction Nine
1524,Holiday/ Rest & Relax,Marsiling Mall
1525,Holiday/ Rest & Relax,Northpoint City
1526,Holiday/ Rest & Relax,Sembawang Shopping Centre
1527,Holiday/ Rest & Relax,Sun Plaza
1528,General business purpose,Vista Point
1529,Holiday/ Rest & Relax,Wisteria Mall
1530,Holiday/ Rest & Relax,Woodlands Mart
1531,General business purpose,City Hall
1532,Holiday/ Rest & Relax,Universal Studios Singapore
1533,General business purpose,City Hall
1534,General business purpose,City Hall
1535,Holiday/ Rest & Relax,Universal Studios Singapore
1536,Holiday/ Rest & Relax,Universal Studios Singapore
1537,Holiday/ Rest & Relax,Universal Studios Singapore
1538,Holiday/ Rest & Relax,Universal Studios Singapore
1539,Holiday/ Rest & Relax,Universal Studios Singapore
1540,General business purpose,City Hall
1541,Holiday/ Rest & Relax,Universal Studios Singapore
1542,General business purpose,City Hall
1543,Holiday/ Rest & Relax,Universal Studios Singapore
1544,Holiday/ Rest & Relax,Universal Studios Singapore
1545,Holiday/ Rest & Relax,Universal Studios Singapore
1546,Holiday/ Rest & Relax,Universal Studios Singapore
1547,Holiday/ Rest & Relax,Universal Studios Singapore
1548,Holiday/ Rest & Relax,Universal Studios Singapore
1549,Holiday/ Rest & Relax,Universal Studios Singapore
1550,General business purpose,City Hall
1551,Holiday/ Rest & Relax,Universal Studios Singapore
1552,Holiday/ Rest & Relax,Universal Studios Singapore
1553,Holiday/ Rest & Relax,Universal Studios Singapore
1554,Holiday/ Rest & Relax,Universal Studios Singapore
1555,Holiday/ Rest & Relax,Universal Studios Singapore
1556,Holiday/ Rest & Relax,Universal Studios Singapore
1557,Holiday/ Rest & Relax,Universal Studios Singapore
1558,Sightseeing/ Attractions,Bugis Street
1559,Holiday/ Rest & Relax,Universal Studios Singapore
1560,Holiday/ Rest & Relax,Universal Studios Singapore
1561,Holiday/ Rest & Relax,Universal Studios Singapore
1562,Holiday/ Rest & Relax,Universal Studios Singapore
1563,Holiday/ Rest & Relax,Universal Studios Singapore
1564,Holiday/ Rest & Relax,Universal Studios Singapore
1565,General business purpose,City Hall
1566,Holiday/ Rest & Relax,Universal Studios Singapore
1567,Holiday/ Rest & Relax,Universal Studios Singapore
1568,To shop/attend shopping events in Singapore,Downtown East
1569,Holiday/ Rest & Relax,Universal Studios Singapore
1570,General business purpose,Eastpoint Mall
1571,Holiday/ Rest & Relax,Universal Studios Singapore
1572,Holiday/ Rest & Relax,Universal Studios Singapore
1573,General business purpose,Katong Square
1574,Holiday/ Rest & Relax,Universal Studios Singapore
1575,Holiday/ Rest & Relax,Universal Studios Singapore
1576,Holiday/ Rest & Relax,Universal Studios Singapore
1577,Holiday/ Rest & Relax,Universal Studios Singapore
1578,Holiday/ Rest & Relax,Universal Studios Singapore
1579,Holiday/ Rest & Relax,Universal Studios Singapore
1580,Holiday/ Rest & Relax,Universal Studios Singapore
1581,To shop/attend shopping events in Singapore,Tampines 1
1582,Holiday/ Rest & Relax,Universal Studios Singapore
1583,Sightseeing/ Attractions,White Sands
1584,Holiday/ Rest & Relax,Universal Studios Singapore
1585,Sightseeing/ Attractions,Elias Mall
1586,Holiday/ Rest & Relax,Universal Studios Singapore
1587,General business purpose,888 Plaza
1588,Holiday/ Rest & Relax,Universal Studios Singapore
1589,Holiday/ Rest & Relax,Universal Studios Singapore
1590,To shop/attend shopping events in Singapore,Canberra Plaza
1591,Holiday/ Rest & Relax,Universal Studios Singapore
1592,To shop/attend shopping events in Singapore,Woodlands Civic Centre
1593,Holiday/ Rest & Relax,Universal Studios Singapore
1594,Holiday/ Rest & Relax,Universal Studios Singapore
1595,Holiday/ Rest & Relax,Universal Studios Singapore
1596,Holiday/ Rest & Relax,Universal Studios Singapore
1597,Holiday/ Rest & Relax,Universal Studios Singapore
1598,Holiday/ Rest & Relax,Universal Studios Singapore
1599,Holiday/ Rest & Relax,Universal Studios Singapore
1600,Holiday/ Rest & Relax,Universal Studios Singapore
1601,Holiday/ Rest & Relax,Universal Studios Singapore
1602,Holiday/ Rest & Relax,Universal Studios Singapore
1603,General business purpose,Wisteria Mall
1604,Holiday/ Rest & Relax,Universal Studios Singapore
1605,Holiday/ Rest & Relax,Universal Studios Singapore
1606,Holiday/ Rest & Relax,Universal Studios Singapore
1607,Holiday/ Rest & Relax,Universal Studios Singapore
1608,To shop/attend shopping events in Singapore,Bugis+
1609,To shop/attend shopping events in Singapore,Capitol Piazza
1610,To shop/attend shopping events in Singapore,Cathay Cineleisure Orchard
1611,General business purpose,The Centrepoint
1612,General business purpose,City Square Mall
1613,Holiday/ Rest & Relax,CityLink Mall
1614,Holiday/ Rest & Relax,Duo
1615,Holiday/ Rest & Relax,Far East Plaza
1616,Holiday/ Rest & Relax,Funan
1617,Holiday/ Rest & Relax,Great World City
1618,Holiday/ Rest & Relax,HDB Hub
1619,General business purpose,ION Orchard
1620,Holiday/ Rest & Relax,Junction 8
1621,Holiday/ Rest & Relax,Knightsbridge
1622,To shop/attend shopping events in Singapore,Liat Towers
1623,Holiday/ Rest & Relax,Lucky Plaza
1624,"IR (e.g. MBS, RWS)",Marina Bay Sands
1625,Sightseeing/ Attractions,The Shoppes at Marina Bay Sands
1626,Holiday/ Rest & Relax,Marina Bay Link Mall
1627,Holiday/ Rest & Relax,Marina Square
1628,To shop/attend shopping events in Singapore,Millenia Walk
1629,General business purpose,Ngee Ann City
1630,Holiday/ Rest & Relax,Orchard Central
1631,General business purpose,Orchard Gateway
1632,To shop/attend shopping events in Singapore,Orchard Plaza
1633,General business purpose,Midpoint Orchard
1634,Holiday/ Rest & Relax,Palais Renaissance
1635,General business purpose,People's Park Centre
1636,Holiday/ Rest & Relax,People's Park Complex
1637,Holiday/ Rest & Relax,Plaza Singapura
1638,Holiday/ Rest & Relax,Raffles City
1639,Sightseeing/ Attractions,Scotts Square
1640,Holiday/ Rest & Relax,Sim Lim Square
1641,General business purpose,Singapore Shopping Centre
1642,Sightseeing/ Attractions,The South Beach
1643,General business purpose,Square 2
1644,Sightseeing/ Attractions,Sunshine Plaza
1645,Holiday/ Rest & Relax,Suntec City
1646,General business purpose,Tanglin Mall
1647,Holiday/ Rest & Relax,Tanjong Pagar Centre
1648,Holiday/ Rest & Relax,Tekka Centre
1649,General business purpose,The Adelphi
1650,Holiday/ Rest & Relax,The Paragon
1651,Holiday/ Rest & Relax,Tiong Bahru Plaza
1652,Sightseeing/ Attractions,The Poiz
1653,Holiday/ Rest & Relax,Thomson Plaza
1654,General business purpose,United Square
1655,Holiday/ Rest & Relax,Thomson V
1656,Holiday/ Rest & Relax,Velocity@Novena Square
1657,Exhibition/Trade show,Marina Barrage
1658,General business purpose,Wisma Atria
1659,Holiday/ Rest & Relax,Zhongshan Mall
1660,Holiday/ Rest & Relax,Bedok Mall
1661,Holiday/ Rest & Relax,Century Square
1662,Holiday/ Rest & Relax,Our Tampines Hub
1663,Holiday/ Rest & Relax,Changi City Point
1664,Holiday/ Rest & Relax,Downtown East
1665,Holiday/ Rest & Relax,Djitsun Mall Bedok
1666,Sightseeing/ Attractions,Eastpoint Mall
1667,Holiday/ Rest & Relax,Jewel Changi Airport
1668,Holiday/ Rest & Relax,Katong Shopping Centre
1669,Holiday/ Rest & Relax,Katong Square
1670,Holiday/ Rest & Relax,Kallang Wave Mall
1671,Holiday/ Rest & Relax,Leisure Park Kallang
1672,Holiday/ Rest & Relax,i12 Katong
1673,General business purpose,Parkway Parade
1674,General business purpose,Paya Lebar Square
1675,General business purpose,Roxy Square
1676,Holiday/ Rest & Relax,Singpost Centre
1677,To shop/attend shopping events in Singapore,Tampines 1
1678,To shop/attend shopping events in Singapore,Tampines Mall
1679,Holiday/ Rest & Relax,White Sands
1680,Holiday/ Rest & Relax,City Plaza
1681,General business purpose,Elias Mall
1682,Holiday/ Rest & Relax,Loyang Point
1683,To shop/attend shopping events in Singapore,888 Plaza
1684,General business purpose,Admiralty Place
1685,Holiday/ Rest & Relax,AMK Hub
1686,Holiday/ Rest & Relax,Canberra Plaza
1687,Holiday/ Rest & Relax,Causeway Point
1688,Holiday/ Rest & Relax,Woodlands Civic Centre
1689,Holiday/ Rest & Relax,Broadway Plaza
1690,Holiday/ Rest & Relax,Djitsun Mall
1691,Holiday/ Rest & Relax,Jubilee Square
1692,Holiday/ Rest & Relax,Junction 8
1693,Holiday/ Rest & Relax,Junction Nine
1694,Holiday/ Rest & Relax,Marsiling Mall
1695,Holiday/ Rest & Relax,Northpoint City
1696,General business purpose,Sembawang Shopping Centre
1697,General business purpose,Sun Plaza
1698,Holiday/ Rest & Relax,Vista Point
1699,Holiday/ Rest & Relax,Wisteria Mall
1700,Holiday/ Rest & Relax,Woodlands Mart
1701,General business purpose,Woodlands North Plaza
1702,Holiday/ Rest & Relax,Waterway Point
1703,Holiday/ Rest & Relax,Compass One
1704,Sightseeing/ Attractions,Hougang Mall
1705,Sightseeing/ Attractions,Heartland Mall
1706,Sightseeing/ Attractions,NEX
1707,Holiday/ Rest & Relax,Buangkok Square
1708,Sightseeing/ Attractions,Greenwich V
1709,Holiday/ Rest & Relax,Hougang 1
1710,Holiday/ Rest & Relax,Hougang Green Shopping Mall
1711,Holiday/ Rest & Relax,Hougang Rivercourt
1712,Holiday/ Rest & Relax,myVillage At Serangoon Garden
1713,Holiday/ Rest & Relax,Northshore Plaza
1714,To shop/attend shopping events in Singapore,Oasis Terraces
1715,Holiday/ Rest & Relax,Punggol Plaza
1716,Holiday/ Rest & Relax,Rivervale Mall
1717,Holiday/ Rest & Relax,Rivervale Plaza
1718,Holiday/ Rest & Relax,The Seletar Mall
1719,Holiday/ Rest & Relax,Upper Serangoon Shopping Centre
1720,Holiday/ Rest & Relax,Beauty World Centre
1721,Sightseeing/ Attractions,Beauty World Plaza
1722,Holiday/ Rest & Relax,Bukit Panjang Plaza
1723,Holiday/ Rest & Relax,Bukit Timah Plaza
1724,Holiday/ Rest & Relax,Fajar Shopping Centre
1725,Holiday/ Rest & Relax,Greenridge Shopping Centre
1726,Holiday/ Rest & Relax,Hillion Mall
1727,Holiday/ Rest & Relax,HillV2
